egoid,sex,race
1,male,White
2,male,White
3,male,White
4,male,White
5,male,White
6,male,Black
7,male,Black
8,male,BlackI
9,male,Hispanic
10,male,Hispanic
11,male,HispanicI
12,male,White
13,male,White
14,male,BlackI
15,male,HispanicI
16,male,White
17,male,Black
18,male,Black
19,male,BlackI
20,male,Hispanic
21,male,Hispanic
22,male,HispanicI
23,male,White
24,male,White
25,male,White
26,male,White
27,male,White
28,male,Black
29,male,Black
30,male,BlackI
31,male,Hispanic
32,male,Hispanic
33,male,HispanicI
34,male,White
35,male,White
36,male,White
37,male,White
38,male,White
39,male,Black
40,male,Black
41,male,BlackI
42,male,Hispanic
43,male,Hispanic
44,male,HispanicI
45,male,White
46,male,White
47,male,White
48,male,White
49,male,White
50,male,Black
51,male,Black
52,male,BlackI
53,male,Hispanic
54,male,Hispanic
55,male,HispanicI
56,male,White
57,male,White
58,male,White
59,male,White
60,male,White
61,male,Black
62,male,Black
63,male,BlackI
64,male,Hispanic
65,male,Hispanic
66,male,HispanicI
67,male,White
68,male,White
69,male,White
70,male,White
71,male,White
72,male,Black
73,male,Black
74,male,BlackI
75,male,Hispanic
76,male,Hispanic
77,male,HispanicI
78,male,White
79,male,White
80,male,White
81,male,White
82,male,BlackI
83,male,HispanicI
84,male,Black
85,male,BlackI
86,male,Hispanic
87,male,Hispanic
88,male,HispanicI
89,male,White
90,male,White
91,male,White
92,male,White
93,male,White
94,male,Black
95,male,Black
96,male,BlackI
97,male,Hispanic
98,male,Hispanic
99,male,HispanicI
100,male,White
101,male,White
102,male,White
103,male,White
104,male,White
105,male,Black
106,male,Black
107,male,BlackI
108,male,Hispanic
109,male,Hispanic
110,male,HispanicI
111,male,White
112,male,White
113,male,White
114,male,White
115,male,White
116,male,Black
117,male,Black
118,male,BlackI
119,male,Hispanic
120,male,Hispanic
121,male,HispanicI
122,male,White
123,male,BlackI
124,male,HispanicI
125,male,White
126,male,White
127,male,Black
128,male,Black
129,male,BlackI
130,male,Hispanic
131,male,Hispanic
132,male,HispanicI
133,male,White
134,male,White
135,male,White
136,male,White
137,male,White
138,male,Black
139,male,Black
140,male,BlackI
141,male,Hispanic
142,male,Hispanic
143,male,HispanicI
144,male,White
145,male,White
146,male,White
147,male,White
148,male,White
149,male,Black
150,male,Black
151,female,BlackI
152,female,Hispanic
153,female,Hispanic
154,female,HispanicI
155,female,White
156,female,White
157,female,White
158,female,White
159,female,White
160,female,Black
161,female,Black
162,female,BlackI
163,female,Hispanic
164,female,Hispanic
165,female,HispanicI
166,female,White
167,female,White
168,female,White
169,female,White
170,female,BlackI
171,female,HispanicI
172,female,Black
173,female,BlackI
174,female,Hispanic
175,female,Hispanic
176,female,HispanicI
177,female,White
178,female,White
179,female,White
180,female,White
181,female,White
182,female,Black
183,female,Black
184,female,BlackI
185,female,Hispanic
186,female,Hispanic
187,female,HispanicI
188,female,White
189,female,White
190,female,White
191,female,White
192,female,White
193,female,Black
194,female,Black
195,female,BlackI
196,female,HispanicI
197,female,Hispanic
198,female,HispanicI
199,female,White
200,female,BlackI
201,male,HispanicI
202,female,White
203,female,White
204,female,White
205,female,White
206,female,White
207,female,White
208,female,Black
209,female,Black
210,female,BlackI
211,female,Hispanic
212,female,Hispanic
213,female,HispanicI
214,female,White
215,female,White
216,female,White
217,female,White
218,female,White
219,female,Black
220,female,Black
221,female,BlackI
222,female,Hispanic
223,female,Hispanic
224,female,HispanicI
225,female,White
226,female,BlackI
227,female,HispanicI
228,female,White
229,female,White
230,female,Black
231,female,Black
232,female,BlackI
233,female,Hispanic
234,female,Hispanic
235,female,HispanicI
236,female,White
237,female,White
238,female,White
239,female,White
240,female,White
241,female,Black
242,female,Black
243,female,BlackI
244,female,Hispanic
245,female,Hispanic
246,female,HispanicI
247,female,White
248,female,White
249,female,White
250,female,White
251,female,White
252,female,Black
253,female,Black
254,female,BlackI
255,female,Hispanic
256,female,Hispanic
257,female,HispanicI
258,female,White
259,female,White
260,female,White
261,female,White
262,female,White
263,female,Black
264,female,Black
265,female,BlackI
266,female,Hispanic
267,female,Hispanic
268,female,HispanicI
269,female,White
270,female,White
271,female,White
272,female,White
273,female,BlackI
274,female,HispanicI
275,female,Black
276,female,BlackI
277,female,Hispanic
278,female,Hispanic
279,female,HispanicI
280,female,White
281,female,White
282,female,White
283,female,White
284,female,White
285,female,Black
286,female,Black
287,female,BlackI
288,female,Hispanic
289,female,Hispanic
290,female,HispanicI
291,female,White
292,female,White
293,female,White
294,female,White
295,female,White
296,female,Black
297,female,Black
298,female,BlackI
299,female,HispanicI
300,female,Hispanic
